scenario,k,cmd,rc,output,setpoint,error,p,i,d,ff,unsat,flags,last_error
sp_ramp_trapezoid,1,u,0,0.025000000000000001,0.025000000000000001,0.025000000000000001,0.025000000000000001,0,0,0,0.025000000000000001,516,0
sp_ramp_trapezoid,2,u,0,0.075000000000000011,0.075000000000000011,0.075000000000000011,0.075000000000000011,0,0,0,0.075000000000000011,516,0
sp_ramp_trapezoid,3,u,0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0,0,0,0.15000000000000002,516,0
sp_ramp_trapezoid,4,u,0,0.25,0.25,0.25,0.25,0,0,0,0.25,516,0
sp_ramp_trapezoid,5,u,0,0.375,0.375,0.375,0.375,0,0,0,0.375,516,0
sp_ramp_trapezoid,6,u,0,0.52500000000000002,0.52500000000000002,0.52500000000000002,0.52500000000000002,0,0,0,0.52500000000000002,516,0
sp_ramp_trapezoid,7,u,0,0.67500000000000004,0.67500000000000004,0.67500000000000004,0.67500000000000004,0,0,0,0.67500000000000004,516,0
sp_ramp_trapezoid,8,u,0,0.82500000000000007,0.82500000000000007,0.82500000000000007,0.82500000000000007,0,0,0,0.82500000000000007,516,0
sp_ramp_trapezoid,9,u,0,0.97500000000000009,0.97500000000000009,0.97500000000000009,0.97500000000000009,0,0,0,0.97500000000000009,516,0
sp_ramp_trapezoid,10,u,0,1.125,1.125,1.125,1.125,0,0,0,1.125,516,0
sp_ramp_trapezoid,11,u,0,1.2625,1.2625,1.2625,1.2625,0,0,0,1.2625,516,0
sp_ramp_trapezoid,12,u,0,1.3875,1.3875,1.3875,1.3875,0,0,0,1.3875,516,0
sp_ramp_midflight_change,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
sp_ramp_midflight_change,1,u,0,0.025000000000000001,0.025000000000000001,0.025000000000000001,0.025000000000000001,0,0,0,0.025000000000000001,516,0
sp_ramp_midflight_change,2,u,0,0.075000000000000011,0.075000000000000011,0.075000000000000011,0.075000000000000011,0,0,0,0.075000000000000011,516,0
